Original_title,Release_date,Original_language,Popularity,Poster_path
Red One,2024-10-31,en,5364.959,/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg
Venom: The Last Dance,2024-10-22,en,3769.598,/aosm8NMQ3UyoBVpSxyimorCQykC.jpg
Mufasa: The Lion King,2024-12-18,en,2814.145,/lurEK87kukWNaHd0zYnsi3yzJrs.jpg
Moana 2,2024-11-21,en,2414.977,/yh64qw9mgXBvlaWDi7Q9tpUBAvH.jpg
Carry-On,2024-12-05,en,2141.632,/sjMN7DRi4sGiledsmllEw5HJjPy.jpg
Sonic the Hedgehog 3,2024-12-19,en,2068.028,/nyEr1VqvKx1YiesMC3oTB2fZvpY.jpg
Dirty Angels,2024-12-11,en,1698.417,/3O3qSGmjRGc10hMwFul8WDxKE5t.jpg
Elevation,2024-11-07,en,1395.143,/uQhYBxOVFU6s9agD49FnGHwJqG5.jpg
Largo Winch: Le prix de l'argent,2024-07-31,fr,927.603,/hextHjNWD79MAJWux4ScvvzUdrR.jpg
Kraven the Hunter,2024-12-11,en,1012.93,/i47IUSsN126K11JUzqQIOi1Mg1M.jpg
Absolution,2024-10-31,en,955.071,/2MeQG5Vq8rUnRAa463BZe5GNhVk.jpg
Gladiator II,2024-11-05,en,1528.573,/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg
The Wild Robot,2024-09-08,en,879.282,/9w0Vh9eizfBXrcomiaFWTIPdboo.jpg
Culpa mía,2023-06-08,es,774.134,/w46Vw536HwNnEzOa7J24YH9DPRS.jpg
Heretic,2024-10-31,en,615.754,/5HJqjCTcaE1TFwnNh3Dn21be2es.jpg
Terrifier 3,2024-10-09,en,685.976,/ju10W5gl3PPK3b7TjEmVOZap51I.jpg
Deadpool & Wolverine,2024-07-24,en,688.908,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg
Culpa tuya,2024-12-26,es,1030.424,/1sQA7lfcF9yUyoLYC0e6Zo3jmxE.jpg
Armor,2024-10-30,en,629.84,/685wCHwr2kyQZxvThNIM04HuuCt.jpg
The Substance,2024-09-07,en,692.019,/lqoMzCcZYEFK729d6qzt349fB4o.jpg
That Christmas,2024-11-27,en,682.477,/bX6dx2U4hOk1esI7mYwtD3cEKdC.jpg
Watchmen: Chapter II,2024-11-25,en,528.402,/4rBObJFpiWJOG7aIlRrOUniAkBs.jpg
Wicked,2024-11-20,en,570.014,/xDGbZ0JJ3mYaGKy4Nzd9Kph6M9L.jpg
Apocalipsis Z: el principio del fin,2024-10-04,es,528.497,/wIGJnIFQlESkC2rLpfA8EDHqk4g.jpg
"Miraculous World : Londres, la course contre le temps",2024-11-14,fr,554.696,/6AtoMpHvs9pxd30KsyK8QmJ9W9M.jpg
Weekend in Taipei,2024-09-19,en,528.671,/qSc0AUvs8mRy00R9y8QYEHWIAQ9.jpg
Inside Out 2,2024-06-11,en,573.282,/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg
Smile 2,2024-10-16,en,516.494,/ht8Uv9QPv9y7K0RvUyJIaXOZTfd.jpg
Anora,2024-10-14,en,609.711,/7MrgIUeq0DD2iF7GR6wqJfYZNeC.jpg
Scream 4,2011-04-13,en,369.424,/tcrI37K98TVopLbcZBa55mWhLT1.jpg
Despicable Me 4,2024-06-20,en,546.627,/i4loA3szFY4NahII8crVY4YEH5j.jpg
Alien: Romulus,2024-08-13,en,520.349,/2uSWRTtCG336nuBiG8jOTEUKSy8.jpg
Sidelined: The QB and Me,2024-11-29,en,530.978,/hklQwv6QVoOp5bWyh1bjuF2ydyG.jpg
How the Grinch Stole Christmas,2000-11-17,en,671.098,/52EpMoLTTbKAkM6rSrnNHV2mpLF.jpg
Transformers One,2024-09-11,en,490.774,/iRCgqpdVE4wyLQvGYU3ZP7pAtUc.jpg
Arcadian,2024-04-12,en,375.639,/spWV1eRzlDxvai8LbxwAWR0Vst4.jpg
Home Alone 2: Lost in New York,1992-11-15,en,565.656,/uuitWHpJwxD1wruFl2nZHIb4UGN.jpg
GTMAX,2024-11-19,fr,345.721,/bx92hl70NUhojjO3eV6LqKllj4L.jpg
Levels,2024-11-01,en,298.02,/y1xm0jMIlx9Oo2a3jWNyLGm43sJ.jpg
Tuhog,2023-11-03,tl,392.957,/1JFMtEk1GRLoCegrcwxkK2XfHcK.jpg
SDI: Secret Department of Intervention,2024-11-28,en,348.503,/yE1UuFMX32K8xqTbgKTwZRdZMld.jpg
Arena Wars,2024-06-25,en,295.395,/4dRtXjk1rcsZlaMJpBn6Nh9cTfO.jpg
The Lion King,2019-07-12,en,358.892,/dzBtMocZuJbjLOXvrl4zGYigDzh.jpg
Sonic the Hedgehog 2,2022-03-30,en,328.648,/6DrHO1jr3qVrViUO6s6kFiAGM7.jpg
俺だけレベルアップな件 -ReAwakening-,2024-11-26,ja,327.436,/dblIFen0bNZAq8icJXHwrjfymDW.jpg
Azrael,2024-09-27,en,309.575,/qpdFKDvJS7oLKTcBLXOaMwUESbs.jpg
Survivre,2024-06-19,fr,336.097,/7fR3KxswtY8OHHZuOUB9td58CRX.jpg
The Grinch,2018-11-08,en,497.283,/smxA8yvZ0LzDPer9BIRd4pyOpx1.jpg
सिकंदर का मुकद्दर,2024-11-29,hi,297.525,/eWUh4rgxtgypgnOa6uGMnUt01ux.jpg
We Live in Time,2024-10-10,en,286.341,/ssFS25CiYQvRJqErqaEyHuVgyH7.jpg
Dear Santa,2024-11-24,en,320.727,/fRbDHbGBXg6kwQYr3CRYeKPJW5q.jpg
Le Comte de Monte-Cristo,2024-06-28,fr,281.553,/zw4kV7npGtaqvUxvJE9IdqdFsNc.jpg
일본 엄마,2017-02-09,ko,332.742,/mCDzIKBPBLLOaFSO7WXCNgrg8f2.jpg
Bad Boys: Ride or Die,2024-06-05,en,321.29,/oGythE98MYleE6mZlGs5oBGkux1.jpg
Spellbound,2024-11-22,en,259.699,/xFSIygDiX70Esp9dheCgGX0Nj77.jpg
Moana,2026-07-09,en,246.865,/ys0jZr0quHERDUEoCboGQEKPvgQ.jpg
Subservience,2024-08-15,en,263.057,/gBenxR01Uy0Ev9RTIw6dVBPoyQU.jpg
Classified,2024-09-19,en,257.232,/o5zHDxx9aGtg0bK9gVghik8ohYb.jpg
El hoyo 2,2024-09-27,es,269.274,/tvIpBg12IIA5Dr9Sjn38ygS1vQp.jpg
Pídeme lo que quieras,2024-11-29,es,264.265,/76qnVxU2rPdVvipBN3DPQH6fVYB.jpg
